2023-05-26 22:17:39.533 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:17:39.534 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:17:39.534 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:17:46.232 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:17:46.232 401:pos-tag                INFO     eval_acc = 0.5803
2023-05-26 22:17:46.233 401:pos-tag                INFO     eval_f1 = 0.2312
2023-05-26 22:17:46.233 401:pos-tag                INFO     eval_mcc = 0.5494
2023-05-26 22:17:46.233 401:pos-tag                INFO     eval_precision = 0.3082
2023-05-26 22:17:46.233 401:pos-tag                INFO     eval_recall = 0.2193
2023-05-26 22:17:46.233 293:pos-tag                INFO     ********************
2023-05-26 22:17:46.233 294:pos-tag                INFO     Best f1:0.2312
2023-05-26 22:17:46.233 295:pos-tag                INFO     ********************
2023-05-26 22:17:48.573 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:17:48.573 315:pos-tag                INFO     ********************
2023-05-26 22:17:48.574 316:pos-tag                INFO     Best MCC:0.5494
2023-05-26 22:17:48.574 317:pos-tag                INFO     ********************
2023-05-26 22:17:51.019 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:17:52.616 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:17:52.616 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:17:52.616 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:17:59.279 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:17:59.280 401:pos-tag                INFO     eval_acc = 0.5842
2023-05-26 22:17:59.280 401:pos-tag                INFO     eval_f1 = 0.241
2023-05-26 22:17:59.280 401:pos-tag                INFO     eval_mcc = 0.5542
2023-05-26 22:17:59.280 401:pos-tag                INFO     eval_precision = 0.3295
2023-05-26 22:17:59.280 401:pos-tag                INFO     eval_recall = 0.2292
2023-05-26 22:17:59.281 293:pos-tag                INFO     ********************
2023-05-26 22:17:59.281 294:pos-tag                INFO     Best f1:0.241
2023-05-26 22:17:59.281 295:pos-tag                INFO     ********************
2023-05-26 22:18:01.618 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:18:01.619 315:pos-tag                INFO     ********************
2023-05-26 22:18:01.619 316:pos-tag                INFO     Best MCC:0.5542
2023-05-26 22:18:01.619 317:pos-tag                INFO     ********************
2023-05-26 22:18:04.122 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:18:05.718 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:18:05.719 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:18:05.719 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:18:12.370 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:18:12.370 401:pos-tag                INFO     eval_acc = 0.5923
2023-05-26 22:18:12.371 401:pos-tag                INFO     eval_f1 = 0.2395
2023-05-26 22:18:12.371 401:pos-tag                INFO     eval_mcc = 0.5626
2023-05-26 22:18:12.371 401:pos-tag                INFO     eval_precision = 0.3127
2023-05-26 22:18:12.371 401:pos-tag                INFO     eval_recall = 0.2308
2023-05-26 22:18:12.371 315:pos-tag                INFO     ********************
2023-05-26 22:18:12.372 316:pos-tag                INFO     Best MCC:0.5626
2023-05-26 22:18:12.372 317:pos-tag                INFO     ********************
2023-05-26 22:18:14.639 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:18:16.250 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:18:16.250 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:18:16.250 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:18:22.922 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:18:22.922 401:pos-tag                INFO     eval_acc = 0.6026
2023-05-26 22:18:22.923 401:pos-tag                INFO     eval_f1 = 0.2513
2023-05-26 22:18:22.923 401:pos-tag                INFO     eval_mcc = 0.5747
2023-05-26 22:18:22.923 401:pos-tag                INFO     eval_precision = 0.3488
2023-05-26 22:18:22.923 401:pos-tag                INFO     eval_recall = 0.2437
2023-05-26 22:18:22.923 293:pos-tag                INFO     ********************
