2023-05-23 21:58:44.458 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:58:44.458 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:49.186 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:49.186 401:pos-tag                INFO     eval_acc = 0.4954
2023-05-23 21:58:49.186 401:pos-tag                INFO     eval_f1 = 0.0765
2023-05-23 21:58:49.186 401:pos-tag                INFO     eval_mcc = 0.4563
2023-05-23 21:58:49.186 401:pos-tag                INFO     eval_precision = 0.0885
2023-05-23 21:58:49.186 401:pos-tag                INFO     eval_recall = 0.0819
2023-05-23 21:58:49.186 293:pos-tag                INFO     ********************
2023-05-23 21:58:49.187 294:pos-tag                INFO     Best f1:0.0765
2023-05-23 21:58:49.187 295:pos-tag                INFO     ********************
2023-05-23 21:58:50.557 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:58:50.557 315:pos-tag                INFO     ********************
2023-05-23 21:58:50.558 316:pos-tag                INFO     Best MCC:0.4563
2023-05-23 21:58:50.558 317:pos-tag                INFO     ********************
2023-05-23 21:58:51.957 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:58:52.562 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:58:52.562 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:58:52.562 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:58:57.286 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:58:57.286 401:pos-tag                INFO     eval_acc = 0.5142
2023-05-23 21:58:57.286 401:pos-tag                INFO     eval_f1 = 0.0811
2023-05-23 21:58:57.286 401:pos-tag                INFO     eval_mcc = 0.4756
